Variable,ADF Statistic,P-value
MINm,-2.142894853,0.522008579
MANm,-2.433040004,0.362206473
TandWm,-1.498804553,0.829541143
INFm,1.759342223,1
FandIm,-2.613473014,0.273730034
Rem,1.428513671,1
HSm,1.961106958,1
PIEPCm,2.016539988,1
TRADEm,-3.308796036,0.064819237
PSTEm,5.214119169,1
MEHIm,-1.336761219,0.878533806
unemployrate,-3.012010501,0.128754031
AGRm,-2.316564417,0.424810242
MINm,-2.618455978,0.271470751
MANm,-2.662189401,0.252114669
TandWm,-2.514190542,0.320904235
INFm,-3.261848438,0.072766972
FandIm,-2.630849221,0.265898898
Rem,-4.408081101,0.002125601
HSm,-2.349965561,0.406534135
PIEPCm,-2.673460507,0.247266401
TRADEm,-2.979802946,0.137815445
PSTEm,-3.047351403,0.119319935
MEHIm,-4.357873865,0.002553933
unemployrate,-2.295061192,0.436683573
AGRm,-2.791721731,0.200001587
MINm,-1.936021554,0.635804918
MANm,-3.272890392,0.070831008
TandWm,0.665845639,0.997025199
INFm,-1.988588829,0.607635985
FandIm,-1.650746341,0.771935806
Rem,-1.443162696,0.847793192
HSm,-1.825913608,0.692130909
PIEPCm,-0.960235668,0.949234646
TRADEm,-2.712005307,0.231131718
PSTEm,-2.393417711,0.383124118
MEHIm,-4.509834406,0.001454564
unemployrate,-2.039738106,0.579631486
AGRm,-3.393152056,0.052309602
MINm,-2.757054417,0.213164391
MANm,-3.21316933,0.081809345
TandWm,-1.913476884,0.647657028
INFm,-0.619274594,0.977945211
FandIm,-1.988200218,0.607846698
Rem,3.210475834,1
HSm,3.408959208,1
PIEPCm,0.045760929,0.994667883
TRADEm,-2.542642999,0.306980332
PSTEm,1.529715794,1
MEHIm,-2.442023347,0.357527637
unemployrate,-2.389052576,0.385454915
AGRm,-3.529618865,0.036326714
MINm,-3.183832935,0.087671593
MANm,-2.57696004,0.290610555
TandWm,-3.653687599,0.025593972
INFm,-5.459248669,2.77E-05
FandIm,-2.674503198,0.246820839
Rem,-3.084188225,0.110041955
HSm,-1.881735582,0.664080082
PIEPCm,0.311881,0.996314915
TRADEm,-3.592345592,0.03049924
PSTEm,-3.64017899,0.026611359
MEHIm,-2.708704612,0.232486113
unemployrate,-2.733654391,0.222376314
AGRm,-2.50837853,0.323786073
MINm,-3.267883976,0.071703608
MANm,-2.950309763,0.146507189
TandWm,-2.577922906,0.290158181
INFm,-1.177371049,0.915037716
FandIm,-3.0337855,0.122878939
Rem,-3.406956029,0.05046547
HSm,-1.942220878,0.632520319
PIEPCm,-0.845241328,0.961653831
TRADEm,-3.544640997,0.034851336
PSTEm,-0.354797409,0.988159519
MEHIm,-2.06014436,0.568329664
unemployrate,-1.783722893,0.712553522
AGRm,-3.1219415,0.101106996
MINm,-1.121328143,0.9254199
MANm,-3.060339275,0.115984672
TandWm,-2.679083597,0.244869492
INFm,-2.522314042,0.316897347
FandIm,-3.722647088,0.020908525
Rem,-2.548770433,0.304022757
HSm,-0.537846146,0.981873456
PIEPCm,-2.172948366,0.505084597
TRADEm,-0.810984637,0.964744606
PSTEm,2.232092245,1
MEHIm,-5.323518898,5.09E-05
unemployrate,-3.063502987,0.115182851
