geoname,year,region,taxrevenueratio,agr,agrm,agrr,min,minm,minr,man,manm,manr,wholesaletrade,retailtrade,tandw,tandwm,tandwr,inf,infm,infr,fandi,fandim,fandir,re,rem,rer,professionalscientificandtechnic,educationalservices,hs,hsm,hsr,str,gdp,taxrevenue,spi,piepc,piepcm,trade,tradem,trader,pste,pstem,pster,igt,lgigt,c,p,lgpl,wapw,mehi,mehim,unemployrate,lggdp,lgml,granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
Connecticut,2015,New England,0.0623204,244,0.0244,0.00093955,175,0.0175,0.00067386,23705,2.3705,0.0912791,14993,12937,3731,0.3731,0.0143667,11891,1.1891,0.0457878,26231,2.6231,0.1010058,34354,3.4354,0.1322845,15456,4387,18716,1.8716,0.0720684,16184.49,259697.9,62320.45,239184.9,46696,4.6696,27930,2.793,0.107548,19843,1.9843,0.076408,,,,,,,88230,8.823,5.616667,5.414468,,624357,567054,57303,0.1010539,Democrat
Maine,2004,New England,0.0668262,792,0.0792,0.01778724,16,0.0016,0.00035934,5515,0.5515,0.1238594,2931,4800,1105,0.1105,0.0248168,1227,0.1227,0.0275567,2597,0.2597,0.0583251,6758,0.6758,0.1517755,2378,596,5506,0.5506,0.1236573,2975.525,44526.3,66826.23,42164.5,29456,2.9456,7731,0.7731,0.1736277,2974,0.2974,0.066792,,,,,,,61300,6.13,4.658333,4.648617,,407512,369909,37603,0.1016547,Democrat
Vermont,2005,New England,0.0954049,377,0.0377,0.01603621,196,0.0196,0.00833713,2866,0.2866,0.1219092,1378,2204,535,0.0535,0.022757,738,0.0738,0.0313918,1321,0.1321,0.0561905,3125,0.3125,0.1329261,1549,586,2378,0.2378,0.1011515,2242.902,23509.3,95404.88,21477.4,33059,3.3059,3582,0.3582,0.1523652,2135,0.2135,0.0908151,,,,,,,73090,7.309,3.45,4.37124,,428018,388870,39148,0.1006712,Republican
New Hampshire,2007,New England,0.0358136,139,0.0139,0.00228872,130,0.013,0.00214053,7672,0.7672,0.126324,4202,5937,1077,0.1077,0.0177334,2415,0.2415,0.0397644,3850,0.385,0.0633925,9085,0.9085,0.1495899,3864,1245,5194,0.5194,0.0855223,2175.057,60732.7,35813.61,58305.5,39040,3.904,10139,1.0139,0.1669447,5109,0.5109,0.0841227,,,,,,,92300,9.23,3.525,4.783422,,443797,397808,45989,0.115606,Democrat
Vermont,2013,New England,0.0979485,291,0.0291,0.01000041,196,0.0196,0.00673567,2703,0.2703,0.0928904,1339,2052,488,0.0488,0.0167705,810,0.081,0.0278362,1217,0.1217,0.041823,3940,0.394,0.1354008,1668,568,2783,0.2783,0.0956397,2850.183,29098.8,97948.47,28666,41462,4.1462,3391,0.3391,0.116534,2236,0.2236,0.0768417,,,,,,,80370,8.037,4.416667,4.463875,,546178,486781,59397,0.12202,Democrat
Rhode Island,2009,New England,0.0539897,102,0.0102,0.00212937,41,0.0041,0.00085593,3706,0.3706,0.0773673,2360,2747,732,0.0732,0.0152814,1872,0.1872,0.0390803,4090,0.409,0.0853837,7695,0.7695,0.1606425,2612,1405,4923,0.4923,0.1027736,2586.184,47901.4,53989.74,42764.9,34118,3.4118,5107,0.5107,0.1066148,4017,0.4017,0.0838598,221881.6,9.3461,14,Democratic,3.02269,0.6828,68300,6.83,11.39167,4.680348,4.130752,537991,484480,53511,0.1104504,Republican
Vermont,2010,New England,0.0926424,312,0.0312,0.01150935,218,0.0218,0.00804179,3103,0.3103,0.1144664,1267,2018,497,0.0497,0.0183338,851,0.0851,0.0313925,1235,0.1235,0.0455578,3846,0.3846,0.1418748,1620,588,2612,0.2612,0.0963539,2511.387,27108.4,92642.39,25988.7,38121,3.8121,3285,0.3285,0.1211802,2208,0.2208,0.0814508,,,,,,,72980,7.298,6.316667,4.433104,,608390,559569,48821,0.0872475,Republican
Vermont,2009,New England,0.0968658,249,0.0249,0.00962587,228,0.0228,0.00881405,2635,0.2635,0.1018641,1195,1976,477,0.0477,0.0184399,892,0.0892,0.034483,1308,0.1308,0.0505648,3594,0.3594,0.1389372,1598,616,2639,0.2639,0.1020187,2505.704,25867.8,96865.76,25216.4,36954,3.6954,3171,0.3171,0.1225848,2214,0.2214,0.085589,,,,,,,69210,6.921,6.166667,4.412759,,537991,484480,53511,0.1104504,Republican
Rhode Island,2002,New England,0.0557957,140,0.014,0.00367145,49,0.0049,0.00128501,4801,0.4801,0.1259044,2356,3017,678,0.0678,0.0177803,1419,0.1419,0.0372127,3251,0.3251,0.0852563,6236,0.6236,0.1635368,2379,1157,4333,0.4333,0.1136313,2127.609,38132.1,55795.75,34965.7,26320,2.632,5373,0.5373,0.1409049,3536,0.3536,0.0927303,148712.6,9.1723,2,Democratic,3.02776,0.6648,65840,6.584,5.108333,4.581291,4.107379,352895,314672,38223,0.1214693,Republican
Connecticut,2019,New England,0.0697687,420.3,0.04203,0.00153271,147.4,0.01474,0.00053753,32168.3,3.21683,0.1173086,13672.4,15211.4,5260.5,0.52605,0.0191835,16720.4,1.67204,0.0609745,38339.7,3.83397,0.139814,37108.4,3.71084,0.1353238,19552.5,6390.4,22567.9,2.25679,0.0822987,19131.944,274219.4,69768.75,267552.8,51713,5.1713,28883.8,2.88838,0.105331,25942.9,2.59429,0.0946064,,,,,,,99420,9.942,3.608333,5.438098,,749554,685729,63825,0.0930761,Democrat
